============================================================
Log started at: 20251215_200711
Log file: sudoku_ga_log_20251215_200711.txt
============================================================

==================== EXPERIMENT CONFIGURATION ====================
Sudoku File:          .\computacion_evolutiva_1\sencillo.txt
Algorithm Runs:       1
Population Size:      100
Mutation Rate:        0.01
Elite Size:           5
Crossover Rate:       0.9
Crossover Type:       single_point
Elitism Replacement:  worst
================================================================

Loading board from .\computacion_evolutiva_1\sencillo.txt...
Initial Board:
0 0 0 | 0 3 0 | 0 0 4 
0 9 0 | 4 0 6 | 0 7 0 
0 5 0 | 0 0 0 | 3 8 0 
---------------------
0 0 0 | 0 7 8 | 0 0 3 
3 0 0 | 0 0 0 | 6 9 0 
5 4 0 | 6 0 0 | 0 2 0 
---------------------
7 0 5 | 0 2 4 | 0 0 0 
9 8 4 | 0 6 5 | 2 0 0 
0 2 6 | 0 8 0 | 0 0 9 

Starting Mutation Rate Sweep: [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7]
Runs per rate: 10

########################################
### TESTING MUTATION RATE: 0.1 ###
########################################

--- Mutation 0.1 | Run 1/10 ---
Gen 0: Best Fitness = 44.00 | Avg Fitness = 67.58
Gen 10: Best Fitness = 26.00 | Avg Fitness = 40.77
Gen 20: Best Fitness = 14.00 | Avg Fitness = 34.50
Gen 30: Best Fitness = 14.00 | Avg Fitness = 33.67
Gen 40: Best Fitness = 14.00 | Avg Fitness = 29.83
Gen 50: Best Fitness = 14.00 | Avg Fitness = 32.53
Gen 60: Best Fitness = 14.00 | Avg Fitness = 32.48
Gen 70: Best Fitness = 14.00 | Avg Fitness = 30.54
Gen 80: Best Fitness = 14.00 | Avg Fitness = 31.44
Gen 90: Best Fitness = 14.00 | Avg Fitness = 33.77
Gen 100: Best Fitness = 13.00 | Avg Fitness = 31.39
Gen 110: Best Fitness = 13.00 | Avg Fitness = 32.02
Gen 120: Best Fitness = 13.00 | Avg Fitness = 32.73
Gen 130: Best Fitness = 12.00 | Avg Fitness = 32.15
Gen 140: Best Fitness = 12.00 | Avg Fitness = 31.62
Gen 150: Best Fitness = 12.00 | Avg Fitness = 30.41
Gen 160: Best Fitness = 12.00 | Avg Fitness = 31.21
Gen 170: Best Fitness = 12.00 | Avg Fitness = 29.87
Gen 180: Best Fitness = 12.00 | Avg Fitness = 29.91
Gen 190: Best Fitness = 12.00 | Avg Fitness = 32.14
Gen 200: Best Fitness = 12.00 | Avg Fitness = 32.20
Gen 210: Best Fitness = 12.00 | Avg Fitness = 31.48
Gen 220: Best Fitness = 12.00 | Avg Fitness = 32.93
Gen 230: Best Fitness = 12.00 | Avg Fitness = 32.59
Gen 240: Best Fitness = 12.00 | Avg Fitness = 33.26
Gen 250: Best Fitness = 12.00 | Avg Fitness = 33.25
Gen 260: Best Fitness = 12.00 | Avg Fitness = 32.07
Gen 270: Best Fitness = 10.00 | Avg Fitness = 30.27
Gen 280: Best Fitness = 10.00 | Avg Fitness = 32.29
Gen 290: Best Fitness = 10.00 | Avg Fitness = 31.70
Gen 300: Best Fitness = 10.00 | Avg Fitness = 30.71
Gen 310: Best Fitness = 10.00 | Avg Fitness = 29.62
Gen 320: Best Fitness = 10.00 | Avg Fitness = 30.07
Gen 330: Best Fitness = 10.00 | Avg Fitness = 31.50
Gen 340: Best Fitness = 10.00 | Avg Fitness = 32.17
Gen 350: Best Fitness = 10.00 | Avg Fitness = 30.04
Gen 360: Best Fitness = 10.00 | Avg Fitness = 29.85
Gen 370: Best Fitness = 10.00 | Avg Fitness = 30.21
Gen 380: Best Fitness = 10.00 | Avg Fitness = 31.76
Gen 390: Best Fitness = 10.00 | Avg Fitness = 30.86
Gen 400: Best Fitness = 10.00 | Avg Fitness = 33.07
Gen 410: Best Fitness = 10.00 | Avg Fitness = 31.18
Gen 420: Best Fitness = 10.00 | Avg Fitness = 32.47
Gen 430: Best Fitness = 10.00 | Avg Fitness = 31.50
Gen 440: Best Fitness = 10.00 | Avg Fitness = 33.66
Gen 450: Best Fitness = 10.00 | Avg Fitness = 30.96
Gen 460: Best Fitness = 10.00 | Avg Fitness = 29.77
Gen 470: Best Fitness = 10.00 | Avg Fitness = 30.89
Gen 480: Best Fitness = 10.00 | Avg Fitness = 31.37
Gen 490: Best Fitness = 10.00 | Avg Fitness = 30.98
Gen 500: Best Fitness = 10.00 | Avg Fitness = 31.36
Gen 510: Best Fitness = 10.00 | Avg Fitness = 28.10
Gen 520: Best Fitness = 10.00 | Avg Fitness = 31.59
Gen 530: Best Fitness = 10.00 | Avg Fitness = 29.84
Gen 540: Best Fitness = 10.00 | Avg Fitness = 29.93
Gen 550: Best Fitness = 10.00 | Avg Fitness = 29.31
Gen 560: Best Fitness = 10.00 | Avg Fitness = 29.20
Gen 570: Best Fitness = 10.00 | Avg Fitness = 31.95
Gen 580: Best Fitness = 10.00 | Avg Fitness = 32.32
Gen 590: Best Fitness = 8.00 | Avg Fitness = 28.70
Gen 600: Best Fitness = 8.00 | Avg Fitness = 32.12
Gen 610: Best Fitness = 8.00 | Avg Fitness = 31.88
Gen 620: Best Fitness = 8.00 | Avg Fitness = 29.23
Gen 630: Best Fitness = 8.00 | Avg Fitness = 28.83
Gen 640: Best Fitness = 8.00 | Avg Fitness = 28.35
Gen 650: Best Fitness = 8.00 | Avg Fitness = 31.87
Gen 660: Best Fitness = 8.00 | Avg Fitness = 30.75
Gen 670: Best Fitness = 8.00 | Avg Fitness = 27.64
Gen 680: Best Fitness = 8.00 | Avg Fitness = 28.78
Gen 690: Best Fitness = 8.00 | Avg Fitness = 29.54
Gen 700: Best Fitness = 8.00 | Avg Fitness = 30.19
Gen 710: Best Fitness = 8.00 | Avg Fitness = 29.17
Gen 720: Best Fitness = 8.00 | Avg Fitness = 28.66
Gen 730: Best Fitness = 8.00 | Avg Fitness = 30.34
Gen 740: Best Fitness = 8.00 | Avg Fitness = 30.95
Gen 750: Best Fitness = 8.00 | Avg Fitness = 30.80
Gen 760: Best Fitness = 8.00 | Avg Fitness = 28.83
Gen 770: Best Fitness = 6.00 | Avg Fitness = 29.79
Gen 780: Best Fitness = 6.00 | Avg Fitness = 26.92
Gen 790: Best Fitness = 6.00 | Avg Fitness = 25.72
Gen 800: Best Fitness = 6.00 | Avg Fitness = 30.68
Gen 810: Best Fitness = 6.00 | Avg Fitness = 29.89
Gen 820: Best Fitness = 6.00 | Avg Fitness = 29.98
Gen 830: Best Fitness = 6.00 | Avg Fitness = 29.37
Gen 840: Best Fitness = 6.00 | Avg Fitness = 31.82
Gen 850: Best Fitness = 6.00 | Avg Fitness = 29.55
Gen 860: Best Fitness = 6.00 | Avg Fitness = 27.10
Gen 870: Best Fitness = 6.00 | Avg Fitness = 29.62
Gen 880: Best Fitness = 6.00 | Avg Fitness = 29.17
Gen 890: Best Fitness = 6.00 | Avg Fitness = 30.19
Gen 900: Best Fitness = 6.00 | Avg Fitness = 28.86
Gen 910: Best Fitness = 6.00 | Avg Fitness = 30.23
Gen 920: Best Fitness = 6.00 | Avg Fitness = 27.68
Gen 930: Best Fitness = 6.00 | Avg Fitness = 27.70
Gen 940: Best Fitness = 6.00 | Avg Fitness = 28.88
Gen 950: Best Fitness = 6.00 | Avg Fitness = 29.91
Gen 960: Best Fitness = 6.00 | Avg Fitness = 31.60
Gen 970: Best Fitness = 6.00 | Avg Fitness = 31.39
Gen 980: Best Fitness = 6.00 | Avg Fitness = 30.77
Gen 990: Best Fitness = 6.00 | Avg Fitness = 30.31
Max generations reached.
Run Finished. Final Fitness: 6.0

--- Mutation 0.1 | Run 3/10 ---
Starting evolution with population size 100...
Gen 0: Best Fitness = 40.00 | Avg Fitness = 64.65
Gen 10: Best Fitness = 28.00 | Avg Fitness = 41.00
Gen 20: Best Fitness = 18.00 | Avg Fitness = 35.67
Gen 30: Best Fitness = 18.00 | Avg Fitness = 34.13
Gen 40: Best Fitness = 17.00 | Avg Fitness = 32.65
Gen 50: Best Fitness = 17.00 | Avg Fitness = 34.51
Gen 60: Best Fitness = 17.00 | Avg Fitness = 31.98
Gen 70: Best Fitness = 16.00 | Avg Fitness = 32.26
Gen 80: Best Fitness = 16.00 | Avg Fitness = 31.74
Gen 90: Best Fitness = 16.00 | Avg Fitness = 32.57
Gen 100: Best Fitness = 16.00 | Avg Fitness = 32.54
Gen 110: Best Fitness = 14.00 | Avg Fitness = 31.76
Gen 120: Best Fitness = 14.00 | Avg Fitness = 32.97
Gen 130: Best Fitness = 14.00 | Avg Fitness = 30.94
Gen 140: Best Fitness = 13.00 | Avg Fitness = 32.72
Gen 150: Best Fitness = 13.00 | Avg Fitness = 33.41
Gen 160: Best Fitness = 13.00 | Avg Fitness = 32.81
Gen 170: Best Fitness = 13.00 | Avg Fitness = 33.18
Gen 180: Best Fitness = 13.00 | Avg Fitness = 33.48
Gen 190: Best Fitness = 13.00 | Avg Fitness = 33.18
Gen 200: Best Fitness = 11.00 | Avg Fitness = 33.55
Gen 210: Best Fitness = 11.00 | Avg Fitness = 32.08
Gen 220: Best Fitness = 11.00 | Avg Fitness = 33.28
Gen 230: Best Fitness = 11.00 | Avg Fitness = 31.34
Gen 240: Best Fitness = 11.00 | Avg Fitness = 33.52
Gen 250: Best Fitness = 11.00 | Avg Fitness = 31.27
Gen 260: Best Fitness = 11.00 | Avg Fitness = 31.65
Gen 270: Best Fitness = 11.00 | Avg Fitness = 32.86
Gen 280: Best Fitness = 11.00 | Avg Fitness = 30.81
Gen 290: Best Fitness = 11.00 | Avg Fitness = 31.12
Gen 300: Best Fitness = 11.00 | Avg Fitness = 30.60
Gen 310: Best Fitness = 11.00 | Avg Fitness = 31.55
Gen 320: Best Fitness = 11.00 | Avg Fitness = 32.62
Gen 330: Best Fitness = 11.00 | Avg Fitness = 29.29
Gen 340: Best Fitness = 11.00 | Avg Fitness = 31.72
Gen 350: Best Fitness = 11.00 | Avg Fitness = 33.36
Gen 360: Best Fitness = 11.00 | Avg Fitness = 32.83
Gen 370: Best Fitness = 11.00 | Avg Fitness = 30.06
Gen 380: Best Fitness = 11.00 | Avg Fitness = 32.67
Gen 390: Best Fitness = 11.00 | Avg Fitness = 30.22
Gen 400: Best Fitness = 11.00 | Avg Fitness = 30.92
Gen 410: Best Fitness = 11.00 | Avg Fitness = 32.79
Gen 420: Best Fitness = 11.00 | Avg Fitness = 31.15
Gen 430: Best Fitness = 11.00 | Avg Fitness = 30.65
Gen 440: Best Fitness = 11.00 | Avg Fitness = 32.22
Gen 450: Best Fitness = 11.00 | Avg Fitness = 29.05
Gen 460: Best Fitness = 11.00 | Avg Fitness = 31.18
Gen 470: Best Fitness = 11.00 | Avg Fitness = 31.94
Gen 480: Best Fitness = 10.00 | Avg Fitness = 31.89
Gen 490: Best Fitness = 10.00 | Avg Fitness = 31.30
Gen 500: Best Fitness = 10.00 | Avg Fitness = 30.60
Gen 510: Best Fitness = 10.00 | Avg Fitness = 31.70
Gen 520: Best Fitness = 10.00 | Avg Fitness = 29.21
Gen 530: Best Fitness = 10.00 | Avg Fitness = 32.26
Gen 540: Best Fitness = 10.00 | Avg Fitness = 31.09
Gen 550: Best Fitness = 10.00 | Avg Fitness = 30.80
Gen 560: Best Fitness = 10.00 | Avg Fitness = 30.06
Gen 570: Best Fitness = 10.00 | Avg Fitness = 30.87
Gen 580: Best Fitness = 10.00 | Avg Fitness = 31.21
Gen 590: Best Fitness = 10.00 | Avg Fitness = 29.46
Gen 600: Best Fitness = 10.00 | Avg Fitness = 31.20
Gen 610: Best Fitness = 10.00 | Avg Fitness = 30.31
Gen 620: Best Fitness = 10.00 | Avg Fitness = 31.90
Gen 630: Best Fitness = 10.00 | Avg Fitness = 31.86
Gen 640: Best Fitness = 10.00 | Avg Fitness = 28.99
Gen 650: Best Fitness = 10.00 | Avg Fitness = 30.50
Gen 660: Best Fitness = 10.00 | Avg Fitness = 31.98
Gen 670: Best Fitness = 10.00 | Avg Fitness = 30.79
Gen 680: Best Fitness = 9.00 | Avg Fitness = 29.05
Gen 690: Best Fitness = 9.00 | Avg Fitness = 30.44
Gen 700: Best Fitness = 9.00 | Avg Fitness = 29.28
Gen 710: Best Fitness = 9.00 | Avg Fitness = 31.70
Gen 720: Best Fitness = 9.00 | Avg Fitness = 32.32
Gen 730: Best Fitness = 9.00 | Avg Fitness = 30.92
Gen 740: Best Fitness = 9.00 | Avg Fitness = 30.90
Gen 750: Best Fitness = 9.00 | Avg Fitness = 28.76
Gen 760: Best Fitness = 9.00 | Avg Fitness = 30.56
Gen 770: Best Fitness = 9.00 | Avg Fitness = 30.10
Gen 780: Best Fitness = 9.00 | Avg Fitness = 29.74
Gen 790: Best Fitness = 9.00 | Avg Fitness = 30.87
Gen 800: Best Fitness = 9.00 | Avg Fitness = 30.63
Gen 810: Best Fitness = 9.00 | Avg Fitness = 31.00
Gen 820: Best Fitness = 9.00 | Avg Fitness = 31.16
Gen 830: Best Fitness = 9.00 | Avg Fitness = 29.49
Gen 840: Best Fitness = 9.00 | Avg Fitness = 29.84
Gen 850: Best Fitness = 9.00 | Avg Fitness = 29.21
Gen 860: Best Fitness = 9.00 | Avg Fitness = 28.45
Gen 870: Best Fitness = 9.00 | Avg Fitness = 29.66
Gen 880: Best Fitness = 9.00 | Avg Fitness = 30.76
Gen 890: Best Fitness = 9.00 | Avg Fitness = 29.79
Gen 900: Best Fitness = 9.00 | Avg Fitness = 30.64
Gen 910: Best Fitness = 9.00 | Avg Fitness = 30.25
Gen 920: Best Fitness = 9.00 | Avg Fitness = 29.53
Gen 930: Best Fitness = 9.00 | Avg Fitness = 30.33
Gen 940: Best Fitness = 9.00 | Avg Fitness = 29.77
Gen 950: Best Fitness = 9.00 | Avg Fitness = 29.90
Gen 960: Best Fitness = 9.00 | Avg Fitness = 28.94
Gen 970: Best Fitness = 9.00 | Avg Fitness = 27.22
Gen 980: Best Fitness = 9.00 | Avg Fitness = 29.14
Gen 990: Best Fitness = 9.00 | Avg Fitness = 30.13
Max generations reached.
Run Finished. Final Fitness: 9.0

--- Mutation 0.1 | Run 4/10 ---
Starting evolution with population size 100...
Gen 0: Best Fitness = 39.00 | Avg Fitness = 66.34
Gen 10: Best Fitness = 25.00 | Avg Fitness = 37.86
Gen 20: Best Fitness = 19.00 | Avg Fitness = 36.17
Gen 30: Best Fitness = 19.00 | Avg Fitness = 34.89
Gen 40: Best Fitness = 17.00 | Avg Fitness = 34.31
Gen 50: Best Fitness = 13.00 | Avg Fitness = 33.60
Gen 60: Best Fitness = 12.00 | Avg Fitness = 33.43
Gen 70: Best Fitness = 11.00 | Avg Fitness = 32.93
Gen 80: Best Fitness = 11.00 | Avg Fitness = 30.60
Gen 90: Best Fitness = 11.00 | Avg Fitness = 30.90
Gen 100: Best Fitness = 11.00 | Avg Fitness = 30.80
Gen 110: Best Fitness = 11.00 | Avg Fitness = 28.26
Gen 120: Best Fitness = 10.00 | Avg Fitness = 33.34
Gen 130: Best Fitness = 10.00 | Avg Fitness = 30.67
Gen 140: Best Fitness = 10.00 | Avg Fitness = 30.43
Gen 150: Best Fitness = 10.00 | Avg Fitness = 31.81
Gen 160: Best Fitness = 10.00 | Avg Fitness = 31.38
Gen 170: Best Fitness = 10.00 | Avg Fitness = 31.24
Gen 180: Best Fitness = 10.00 | Avg Fitness = 30.12
Gen 190: Best Fitness = 10.00 | Avg Fitness = 30.05
Gen 200: Best Fitness = 10.00 | Avg Fitness = 30.03
Gen 210: Best Fitness = 10.00 | Avg Fitness = 32.33
Gen 220: Best Fitness = 10.00 | Avg Fitness = 29.35
Gen 230: Best Fitness = 10.00 | Avg Fitness = 28.84
Gen 240: Best Fitness = 10.00 | Avg Fitness = 32.83
Gen 250: Best Fitness = 9.00 | Avg Fitness = 31.51
Gen 260: Best Fitness = 9.00 | Avg Fitness = 29.20
Gen 270: Best Fitness = 9.00 | Avg Fitness = 30.52
Gen 280: Best Fitness = 9.00 | Avg Fitness = 32.70
Gen 290: Best Fitness = 9.00 | Avg Fitness = 29.97
Gen 300: Best Fitness = 9.00 | Avg Fitness = 29.56
Gen 310: Best Fitness = 9.00 | Avg Fitness = 28.99
Gen 320: Best Fitness = 9.00 | Avg Fitness = 30.32
Gen 330: Best Fitness = 9.00 | Avg Fitness = 32.48
Gen 340: Best Fitness = 9.00 | Avg Fitness = 30.31
Gen 350: Best Fitness = 9.00 | Avg Fitness = 30.24
Gen 360: Best Fitness = 9.00 | Avg Fitness = 31.30
Gen 370: Best Fitness = 9.00 | Avg Fitness = 30.97
Gen 380: Best Fitness = 9.00 | Avg Fitness = 30.50
Gen 390: Best Fitness = 9.00 | Avg Fitness = 30.71
Gen 400: Best Fitness = 9.00 | Avg Fitness = 31.00
Gen 410: Best Fitness = 9.00 | Avg Fitness = 30.04
Gen 420: Best Fitness = 9.00 | Avg Fitness = 30.52
Gen 430: Best Fitness = 9.00 | Avg Fitness = 30.80
Gen 440: Best Fitness = 9.00 | Avg Fitness = 30.38
Gen 450: Best Fitness = 9.00 | Avg Fitness = 31.40
Gen 460: Best Fitness = 9.00 | Avg Fitness = 28.62
Gen 470: Best Fitness = 9.00 | Avg Fitness = 31.29
Gen 480: Best Fitness = 9.00 | Avg Fitness = 31.51
Gen 490: Best Fitness = 9.00 | Avg Fitness = 29.08
Gen 500: Best Fitness = 9.00 | Avg Fitness = 28.24
Gen 510: Best Fitness = 9.00 | Avg Fitness = 31.37
Gen 520: Best Fitness = 9.00 | Avg Fitness = 28.57
Gen 530: Best Fitness = 9.00 | Avg Fitness = 30.84
Gen 540: Best Fitness = 9.00 | Avg Fitness = 31.36
Gen 550: Best Fitness = 9.00 | Avg Fitness = 30.54
Gen 560: Best Fitness = 9.00 | Avg Fitness = 30.16
Gen 570: Best Fitness = 9.00 | Avg Fitness = 28.93
Gen 580: Best Fitness = 9.00 | Avg Fitness = 31.08
Gen 590: Best Fitness = 9.00 | Avg Fitness = 30.83
Gen 600: Best Fitness = 9.00 | Avg Fitness = 27.52
Gen 610: Best Fitness = 9.00 | Avg Fitness = 30.14
Gen 620: Best Fitness = 9.00 | Avg Fitness = 30.65
Gen 630: Best Fitness = 9.00 | Avg Fitness = 28.94
Gen 640: Best Fitness = 9.00 | Avg Fitness = 31.48
Gen 650: Best Fitness = 9.00 | Avg Fitness = 28.78
Gen 660: Best Fitness = 9.00 | Avg Fitness = 28.53
Gen 670: Best Fitness = 8.00 | Avg Fitness = 31.04
Gen 680: Best Fitness = 8.00 | Avg Fitness = 28.36
Gen 690: Best Fitness = 8.00 | Avg Fitness = 30.73
Gen 700: Best Fitness = 8.00 | Avg Fitness = 32.19
Gen 710: Best Fitness = 8.00 | Avg Fitness = 28.84
Gen 720: Best Fitness = 8.00 | Avg Fitness = 27.61
Gen 730: Best Fitness = 8.00 | Avg Fitness = 30.96
Gen 740: Best Fitness = 8.00 | Avg Fitness = 29.40
Gen 750: Best Fitness = 8.00 | Avg Fitness = 30.69
Gen 760: Best Fitness = 8.00 | Avg Fitness = 30.24
Gen 770: Best Fitness = 8.00 | Avg Fitness = 28.84
Gen 780: Best Fitness = 8.00 | Avg Fitness = 28.35
Gen 790: Best Fitness = 8.00 | Avg Fitness = 29.17
Gen 800: Best Fitness = 8.00 | Avg Fitness = 27.20
Gen 810: Best Fitness = 7.00 | Avg Fitness = 29.76
Gen 820: Best Fitness = 7.00 | Avg Fitness = 31.75
Gen 830: Best Fitness = 7.00 | Avg Fitness = 28.02
Gen 840: Best Fitness = 7.00 | Avg Fitness = 29.99
Gen 850: Best Fitness = 7.00 | Avg Fitness = 29.81
Gen 860: Best Fitness = 7.00 | Avg Fitness = 28.16
Gen 870: Best Fitness = 7.00 | Avg Fitness = 28.24
Gen 880: Best Fitness = 7.00 | Avg Fitness = 27.35
Gen 890: Best Fitness = 7.00 | Avg Fitness = 29.83
Gen 900: Best Fitness = 7.00 | Avg Fitness = 29.72
Gen 910: Best Fitness = 7.00 | Avg Fitness = 27.17
Gen 920: Best Fitness = 7.00 | Avg Fitness = 29.87
Gen 930: Best Fitness = 7.00 | Avg Fitness = 28.90
Gen 940: Best Fitness = 7.00 | Avg Fitness = 28.69
Gen 950: Best Fitness = 7.00 | Avg Fitness = 31.22
